enrollment_id,associate_id,organization_name,associate_id_owner,type_owner,role_code_owner,role_text_owner,association_date_owner,first_name_owner,middle_name_owner,last_name_owner,title_owner,organization_name_owner,doing_business_as_name_owner,address_line_1_owner,address_line_2_owner,city_owner,state_owner,zip_code_owner,percentage_ownership,created_for_acquisition_owner,corporation_owner,llc_owner,medical_provider_supplier_owner,management_services_company_owner,medical_staffing_company_owner,holding_company_owner,investment_firm_owner,financial_institution_owner,consulting_firm_owner,for_profit_owner,non_profit_owner,private_equity_company_owner,reit_owner,chain_home_office_owner,other_type_owner,other_type_text_owner,owned_by_another_org_or_ind_owner,Year,Month,Day
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,5496767527,I,41,CORPORATE DIRECTOR,01/01/2023,HOWARD,B,CHRISMAN,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,5991890857,I,41,CORPORATE DIRECTOR,10/01/2015,THOMAS,A,CAREY,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,6507093663,I,41,CORPORATE DIRECTOR,09/01/2022,WILLIAM,P,FLESCH,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,6507828761,I,41,CORPORATE DIRECTOR,09/01/2024,MICHELE,C,MONTPETIT,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,7113017864,I,41,CORPORATE DIRECTOR,09/01/2024,WILLIAM,A,EARMAN,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,7719123090,I,41,CORPORATE DIRECTOR,09/01/2023,ANKUR,R,BEHL,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,7810302619,I,41,CORPORATE DIRECTOR,09/01/2022,JOSEPH,R,CRANE,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,8123432911,I,41,CORPORATE DIRECTOR,09/01/2022,SCOTT,P,SEROTA,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,8224164371,I,41,CORPORATE DIRECTOR,09/01/2018,FORREST,R,WHITTAKER,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,8820352297,I,41,CORPORATE DIRECTOR,01/01/2018,JAMES,NULL,THORPE,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,9133255441,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,02/01/2010,NULL,NULL,NULL,NULL,NORTHWESTERN MEMORIAL HEALTHCARE,NULL,251 E HURON ST,NULL,CHICAGO,IL,606112908,NULL,NULL,N,N,N,N,N,N,N,N,N,N,Y,NULL,NULL,NULL,N,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,9537076294,I,41,CORPORATE DIRECTOR,09/01/2022,KEVIN,NULL,POORTEN,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,9537539671,I,41,CORPORATE DIRECTOR,09/01/2022,SCOTT,L,GWILLIAM,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,9638414907,I,41,CORPORATE DIRECTOR,09/01/2022,STEPHEN,L,DAVIS,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,9931447497,I,41,CORPORATE DIRECTOR,09/01/2018,DEBORAH,S,SARAN,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
